Price,Address,Beds,Baths,Type,Link
"$3,400","#2 -51 MCMURRAY AVE, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/2-51-mcmurray-ave-wp_idm73000004-26872446-lst
"$799,999","#623 -1787 ST. CLAIR AVE W, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/623-1787-st-clair-ave-w-wp_idm73000004-26872429-lst
"$649,900","#527 -5 MABELLE AVE, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/527-5-mabelle-ave-wp_idm73000004-26872420-lst
"$850,000","#1004 -1 LOMOND DR, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/1004-1-lomond-dr-wp_idm73000004-26872407-lst
"$459,000","#2115 -1928 LAKE SHORE BLVD W, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/2115-1928-lake-shore-blvd-w-wp_idm73000004-26872397-lst
"$559,000","#2901 -1928 LAKE SHORE BLVD W, Toronto, ON",2,2,Condo,https://www.remax.ca/on/toronto-real-estate/2901-1928-lake-shore-blvd-w-wp_idm73000004-26872400-lst
"$2,199,000","53 HARSHAW AVE, Toronto, ON",4,4,House,https://www.remax.ca/on/toronto-real-estate/53-harshaw-ave-wp_idm73000004-26872398-lst
"$1,850,000","562 INDIAN RD, Toronto, ON",4,3,House,https://www.remax.ca/on/toronto-real-estate/562-indian-rd-wp_idm73000004-26872389-lst
"$999,000","17 THIRTY THIRD ST, Toronto, ON",3,1,House,https://www.remax.ca/on/toronto-real-estate/17-thirty-third-st-wp_idm73000004-26872388-lst
"$579,990","#2903 -2230 LAKE SHORE BLVD W, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/2903-2230-lake-shore-blvd-w-wp_idm73000004-26872377-lst
"$529,900","#733 -10 LAIDLAW ST, Toronto, ON",1,1,Condo,https://www.remax.ca/on/toronto-real-estate/733-10-laidlaw-st-wp_idm73000004-26872381-lst
"$1,880,000","137 SPRINGHURST AVE, Toronto, ON",6,3,House,https://www.remax.ca/on/toronto-real-estate/137-springhurst-ave-wp_idm73000004-26872383-lst
"$1,099,000","16 BRALORNE CRES, Toronto, ON",3,3,House,https://www.remax.ca/on/toronto-real-estate/16-bralorne-cres-wp_idm73000004-26872371-lst
"$699,000","397 PHARMACY AVE, Toronto, ON",3,1,House,https://www.remax.ca/on/toronto-real-estate/397-pharmacy-ave-wp_idm73000004-26872281-lst
"$1,789,000","50 WHISTLE POST ST, Toronto, ON",5,4,House,https://www.remax.ca/on/toronto-real-estate/50-whistle-post-st-wp_idm73000004-26872272-lst
